Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 0. World Size: 4
Rank: 1. World Size: 4
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Rank: 1, Epoch: 0, Training ...
Rank: 0, Epoch: 0, Training ...
[epoch: 0/1][iteration: 13/782][rank: 1] Loss_D: 0.4175, Loss_G: 11.5440, D(x): 0.9526, D(G(z)): 0.2976 / 0.0000, iteration time: 1.4444s
[epoch: 0/1][iteration: 14/782][rank: 0] Loss_D: 0.2319, Loss_G: 10.4235, D(x): 0.8295, D(G(z)): 0.0009 / 0.0000, iteration time: 1.4421s
[epoch: 0/1][iteration: 14/782][rank: 1] Loss_D: 0.3301, Loss_G: 10.4235, D(x): 0.8248, D(G(z)): 0.0009 / 0.0000, iteration time: 1.4415s
[epoch: 0/1][iteration: 15/782][rank: 0] Loss_D: 0.0759, Loss_G: 6.1801, D(x): 0.9442, D(G(z)): 0.0152 / 0.0024, iteration time: 1.4415s
[epoch: 0/1][iteration: 15/782][rank: 1] Loss_D: 0.1002, Loss_G: 6.1801, D(x): 0.9214, D(G(z)): 0.0152 / 0.0024, iteration time: 1.4616s
[epoch: 0/1][iteration: 16/782][rank: 1] Loss_D: 1.9678, Loss_G: 13.6242, D(x): 0.9429, D(G(z)): 0.8364 / 0.0000, iteration time: 1.4283s
[epoch: 0/1][iteration: 16/782][rank: 0] Loss_D: 1.9962, Loss_G: 13.6242, D(x): 0.9189, D(G(z)): 0.8364 / 0.0000, iteration time: 1.4429s
[epoch: 0/1][iteration: 17/782][rank: 0] Loss_D: 0.3689, Loss_G: 14.4337, D(x): 0.8039, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4118s
[epoch: 0/1][iteration: 17/782][rank: 1] Loss_D: 0.2219, Loss_G: 14.4337, D(x): 0.8293, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4305s
[epoch: 0/1][iteration: 18/782][rank: 0] Loss_D: 0.0858, Loss_G: 13.5239, D(x): 0.9204, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4526s
